"ID","大カテゴリ","中カテゴリ","機能名","機能概要","対象ユーザ","モック実装状況","想定フェーズ","MoSCoW優先度案","想定工数","依存関係","備考"
"A-001","ユーザコア機能","送金","送金フロー（3ステップ: 入力→確認→完了）","受取人アドレス・金額・メモを入力し、配分プレビュー後に承認・送信","一般ユーザ","実装済","P1(初期必須)","Must","-","-","app/routes/send.tsx で実装。SmartAccount/EOA 両系統に対応"
"A-002","ユーザコア機能","送金","用途タグ選択（森・川・コミュニティ）","送金時に用途を分類し、後続のインパクト集計に使う","一般ユーザ","実装済","P1(初期必須)","Should","S","-","現状はクライアント側のみ。オンチェーン or インデクサーへ伝搬するか要決定"
"A-003","ユーザコア機能","送金","送金時メモ（50文字）","送金にメッセージ添付","一般ユーザ","実装済","P1(初期必須)","Should","S","-","オンチェーンに乗るかoff-chainかの仕様確認"
"A-004","ユーザコア機能","送金","送金エラー時のリトライ／詳細表示","Pimlico/permit/transferエラー時の人間可読メッセージとリトライUI","一般ユーザ","部分実装","P1(初期必須)","Must","M","-","エラー文言は技術的。日本語化と分類が必要"
"A-005","ユーザコア機能","送金","BlockExplorer（Etherscan）リンク","送金結果からトランザクションHashへの遷移","一般ユーザ","未実装","P1(初期必須)","Must","S","Mainnet/Sepolia デプロイ","透明性確保の最低線"
"A-006","ユーザコア機能","送金","ガス代無料の説明UI","Paymaster利用前提なので「無料」を明示","一般ユーザ","未実装","P2(リリース直後)","Should","S","-","SmartAccount時のみ。EOA時は別文言が必要"
"A-007","ユーザコア機能","受取","受取（QRコード生成・金額指定）","金額／メッセージ付きの受取リンクとQRを発行","一般ユーザ","実装済","P1(初期必須)","Must","-","-","app/routes/receive.tsx"
"A-008","ユーザコア機能","受取","QRスキャナ","カメラから送金リンクQRを読み取る","一般ユーザ","実装済","P1(初期必須)","Must","-","-","html5-qrcode利用。カメラ権限拒否時の再要求UIは未実装"
"A-009","ユーザコア機能","受取","カメラ権限拒否後の再要求／代替入力","拒否時にURL貼り付け／手動入力の代替を提示","一般ユーザ","未実装","P2(リリース直後)","Should","S","A-008","ユーザビリティ事故防止"
"A-010","ユーザコア機能","残高・履歴","残高表示","FORトークン残高を表示","一般ユーザ","実装済","P1(初期必須)","Must","-","-","useForTokenBalance"
"A-011","ユーザコア機能","残高・履歴","履歴一覧（自分の送受信）","Subgraph経由で送受信を時系列表示","一般ユーザ","実装済","P1(初期必須)","Must","-","-","app/routes/transactions.tsx。limit=20"
"A-012","ユーザコア機能","残高・履歴","履歴ページネーション","20件超の閲覧","一般ユーザ","部分実装","P1(初期必須)","Must","S","-","Page Sizeのみ実装。ページ送りボタン・無限スクロール要"
"A-013","ユーザコア機能","残高・履歴","履歴フィルタ（期間・金額・相手・用途）","条件絞り込みで履歴を見つけやすくする","一般ユーザ","未実装","P3(半年内)","Should","M","F-002","Subgraphクエリ拡張が必要"
"A-014","ユーザコア機能","残高・履歴","履歴ソート（昇降・金額順）","各列でソート","一般ユーザ","未実装","P3(半年内)","Could","S","A-011","-"
"A-015","ユーザコア機能","残高・履歴","履歴のCSVエクスポート","年次取引明細など","一般ユーザ／税務","未実装","P3(半年内)","Should","M","-","税務対応の足回り。会計連携への布石"
"A-016","ユーザコア機能","残高・履歴","レシートPDF出力","領収書として出力","一般ユーザ","未実装","P4(1年内)","Could","M","H-003","特商法・税務考慮"
"A-017","ユーザコア機能","残高・履歴","履歴詳細（ガス・配分内訳・Etherscan）","1取引のドリルダウン","一般ユーザ","部分実装","P2(リリース直後)","Should","M","A-005","loaderはあるがUI最小限"
"A-018","ユーザコア機能","残高・履歴","ユーザ間履歴 /transactions/:address","特定相手とのやり取りまとめ","一般ユーザ","部分実装","P2(リリース直後)","Could","S","-","データ取得は実装済、UI未完成"
"A-019","ユーザコア機能","送金UX","送金キャンセル不可の事前明示","「キャンセル不可」をUIで強調","一般ユーザ","部分実装","P1(初期必須)","Must","S","-","誤送金リスク低減"
"A-020","ユーザコア機能","送金UX","送金前の二重送信防止","ボタン連打／戻る連打のロック","一般ユーザ","部分実装","P1(初期必須)","Must","S","-","状態遷移を確認"
"A-021","ユーザコア機能","送金UX","ネットワーク不通時の表示","オフライン／RPC不通時の明示","一般ユーザ","未実装","P2(リリース直後)","Should","S","K-014","-"
"A-022","ユーザコア機能","おすそ分け","おすそ分け一覧","コミュニティ商品・サービスの一覧","一般ユーザ","部分実装","P2(リリース直後)","Should","M","E-009","現状ハードコードのダミー8件"
"A-023","ユーザコア機能","おすそ分け","おすそ分け詳細ページ","商品/サービスの詳細・購入導線","一般ユーザ","未実装","P2(リリース直後)","Should","L","A-022,E-009","route fileのみ"
"A-024","ユーザコア機能","おすそ分け","おすそ分け作成（出品）","ユーザが商品を出品する画面","一般ユーザ","未実装","P2(リリース直後)","Should","L","A-023","route fileのみ"
"A-025","ユーザコア機能","おすそ分け","商品検索・フィルタ・カテゴリ","商品が増えた時のディスカバラビリティ","一般ユーザ","未実装","P3(半年内)","Should","M","A-022","-"
"A-026","ユーザコア機能","おすそ分け","商品レビュー・評価","購入後のレビュー・星評価","一般ユーザ","未実装","P4(1年内)","Could","M","A-023","モデレーション運用とセット"
"A-027","ユーザコア機能","商品購入","商品購入フロー（請求→支払い）","READMEに記載のあるロック付き支払い","一般ユーザ","未実装","P2(リリース直後)","Must","XL","E-009","スマコン側のロック実装が前提"
"A-028","ユーザコア機能","商品購入","ロック期間（キャンセル可能期間）UI","ロック中の状態表示・残時間カウントダウン","一般ユーザ","未実装","P2(リリース直後)","Must","M","E-010","-"
"A-029","ユーザコア機能","商品購入","購入キャンセル／返金","ロック期間内のキャンセル","一般ユーザ","未実装","P2(リリース直後)","Must","M","E-011","-"
"A-030","ユーザコア機能","商品購入","出品者引き出し（unlock後）","ロック解除後の出品者による受領","出品者","未実装","P2(リリース直後)","Must","M","E-009,E-010","-"
"A-031","ユーザコア機能","商品購入","注文一覧（買った／売った）","購入履歴と販売履歴","一般ユーザ／出品者","未実装","P2(リリース直後)","Must","M","A-027","-"
"A-032","ユーザコア機能","商品購入","配送・受取確認（有形物時）","配送状況・受取確認","一般ユーザ／出品者","未実装","P3(半年内)","Could","M","A-031","リアル配送の場合に必要"
"A-033","ユーザコア機能","商品購入","通報／問題報告","違反コンテンツや詐欺の通報","一般ユーザ","未実装","P2(リリース直後)","Should","M","D-014","モデレーション運用とセット"
"B-001","認証・ウォレット","ログイン","Privyログイン（Google／Email／Wallet）","Privy embedded wallet含むログイン","一般ユーザ","実装済","P1(初期必須)","Must","-","-","AppPrivyProvider"
"B-002","認証・ウォレット","ログイン","SMS／電話番号ログイン","電話番号によるログイン","一般ユーザ","未実装","P3(半年内)","Could","S","B-001","Privy機能の有効化のみ"
"B-003","認証・ウォレット","ログイン","SSO（Apple／LINE／Discord）","ログイン手段の拡充","一般ユーザ","未実装","P3(半年内)","Could","S","B-001","コミュニティ層に応じて"
"B-004","認証・ウォレット","ログイン","セッションタイムアウト／自動ログアウト","一定時間操作なしでログアウト","一般ユーザ","部分実装","P1(初期必須)","Should","S","B-001","Privy管理。設定値の明文化が必要"
"B-005","認証・ウォレット","ログイン","ログイン失敗時のロックアウト／レート制限","総当り対策","運用","部分実装","P1(初期必須)","Should","S","B-001","Privy機能依存。設定確認"
"B-006","認証・ウォレット","ログイン","ログイン履歴／デバイス管理","直近ログインの確認・リモートログアウト","一般ユーザ","未実装","P3(半年内)","Could","M","B-001","-"
"B-007","認証・ウォレット","ログイン","MFA（TOTP）","二要素認証","一般ユーザ／管理者","未実装","P3(半年内)","Should","M","B-001","管理者は必須化検討"
"B-008","認証・ウォレット","ウォレット","SmartAccount（Pimlico/Thirdweb）","ERC-4337 アカウント抽象化","一般ユーザ","実装済","P1(初期必須)","Must","-","-","useSmartAccount.ts"
"B-009","認証・ウォレット","ウォレット","EOA permit送金","ERC-2612署名で送金","一般ユーザ","実装済","P1(初期必須)","Must","-","-","useDistributionTransfer"
"B-010","認証・ウォレット","ウォレット","SmartAccountデプロイ状態の表示","デプロイ済／未デプロイの可視化","一般ユーザ","未実装","P2(リリース直後)","Should","S","B-008","初回送金時のUX改善"
